id,street,city,state,zip
toad-hall-books-nevada-city,108 N Pine St,Nevada City,CA,
word-after-word-books-truckee,10052 Donner Pass Rd,Truckee,CA,
1882-bar-and-grill-truckee,10009 E River St,Truckee,CA,
alloro-ristorante-grass-valley,124 Bank St,Grass Valley,CA,
bar-of-america-truckee,10040 Donner Pass Rd,Truckee,CA,
bicycle-thief-grass-valley,"122 E Main St,",Grass Valley,CA,
blue-coyote-bar-and-grill-truckee,10015 Palisades Dr,Truckee,CA,
brewhaus-nevada-city,300 Spring St,Nevada City,CA,
bubba-s-bagels-grass-valley,860 Sutton Way,Grass Valley,CA,
burger-me-truckee,10418 Donner Pass Rd,Truckee,CA,
casa-baeza-mexican-restaurant-truckee,10010 Bridge St,Truckee,CA,
clarky-s-bbq-smoke-and-more-penn-valley,17487 Penn Valley Dr,Penn Valley,CA,
cloud-sushi-truckee,10130 W River St,Truckee,CA,
como-truckee,10164 Donner Pass Rd,Truckee,CA,
craft-and-logic-taproom-truckee,11448 Deerfield Dr,Truckee,CA,
crazy-horse-saloon-and-grill-nevada-city,230 Commercial St,Nevada City,CA,
daybreak-cafe-penn-valley,17438 Penn Valley Dr,Penn Valley,CA,
donner-creek-brewing-truckee,11448 Deerfield Dr,Truckee,CA,
donner-lake-kitchen-truckee,13720 Donner Pass Rd,Truckee,CA,
drunken-monkey-sushi-truckee,"11253 Brockway Rd, Ste #105",Truckee,CA,
el-milagro-mexican-restaurant-grass-valley,760 A S Auburn St,Grass Valley,CA,
el-toro-bravo-truckee,10186 Donner Pass Rd,Truckee,CA,
elixart-nevada-city,203 York St,Nevada City,CA,
enrique-s-lounge-grass-valley,120 E Main St,Grass Valley,CA,
fiftyfifty-brewing-co-truckee,11197 Brockway Rd,Truckee,CA,
friar-tuck-s-restaurant-and-bar-nevada-city,111 N Pine St,Nevada City,CA,
front-street-station-pizza-co-truckee,11782 Donner Pass Rd,Truckee,CA,
fudenj-ce-nevada-city,815 Zion St,Nevada City,CA,
full-belly-deli-truckee,"10825 Pioneer Trail, #103",Truckee,CA,
gary-s-place-grass-valley,158 Mill St,Grass Valley,CA,
gold-vibe-kombuchary-grass-valley,12615 Charles Dr,Grass Valley,CA,
golden-rotisserie-truckee,11357 Donner Pass Rd,Truckee,CA,
good-wolf-brewing-truckee,10990 Industrial Way,Truckee,CA,
grass-valley-brewing-co-grass-valley,141 E Main St,Grass Valley,CA,
heartwood-eatery-and-annex-nevada-city,237 Commercial St,Nevada City,CA,
iron-door-speakeasy-grass-valley,212 W Main St,Grass Valley,CA,
jax-at-the-tracks-truckee,"10144 W River St,",Truckee,CA,
kaido-grass-valley,207 W Main St,Grass Valley,CA,
la-bamba-mexican-restaurant-truckee,11760 Donner Pass Rd,Truckee,CA,
lika-s-quarter-cafe-nevada-city,401 Commercial St,Nevada City,CA,
lola-at-the-national-exchange-hotel-nevada-city,211 Broad St,Nevada City,CA,
mak-s-bbq-grass-valley,10128 Alta Sierra Dr,Grass Valley,CA,
makiali-truckee,"11357 Donner Pass Rd, Ste F,",Truckee,CA,
maria-s-mexican-restaurant-grass-valley,226 E Main St,Grass Valley,CA,
marshall-s-pasties-grass-valley,203 Mill St,Grass Valley,CA,
masa-kitchen-truckee,10068 Donner Pass Rd,Truckee,CA,
mcgees-annex-nevada-city,315 Broad St,Nevada City,CA,
mehfil-indian-bistro-truckee,11421 Deerfield Dr,Truckee,CA,
moi-s-thai-cafe-penn-valley,11332 Pleasant Valley Rd,Penn Valley,CA,
mountain-lotus-cafe-truckee,10124 E St,Truckee,CA,
nevada-city-classic-cafe-nevada-city,216 Broad St,Nevada City,CA,
nevada-club-grass-valley,108 W Main St,Grass Valley,CA,
old-town-tap-truckee,10164 Donner Pass Rd,Truckee,CA,
penn-valley-northridge-penn-valley,17464 Penn Valley Dr #101,Penn Valley,CA,
pete-s-pizza-grass-valley,114 W Main St,Grass Valley,CA,
pianeta-truckee,10098 Donner Pass Rd,Truckee,CA,
pj-s-at-grays-crossing-truckee,11402 Henness Rd,Truckee,CA,
players-restaurant-and-sports-bar-penn-valley,10161 Commercial Ave,Penn Valley,CA,
restaurant-dakan-nevada-city,300 Commercial St,Nevada City,CA,
rmu-truckee,10292 Donner Pass Rd,Truckee,CA,
siam-cuisine-truckee,"10770 Donner Pass Rd, #101",Truckee,CA,
smokey-s-kitchen-truckee,12036 Donner Pass Rd,Truckee,CA,
spring-poke-and-sushi-truckee,11375 Deerfield Dr,Truckee,CA,
squeeze-in-truckee,"10060 Donner Pass, Rd B",Truckee,CA,
stella-truckee,10948 Brockway Rd,Truckee,CA,
sushi-in-the-raw-at-california-organics-nevada-city,135 Argall Way,Nevada City,CA,
sushi-q-nevada-city,238 Commercial St,Nevada City,CA,
tack-room-restaurant-and-bar-penn-valley,17356 Penn Valley Dr,Penn Valley,CA,
tacos-jalisco-truckee,"11400 Donner Pass Rd, #25",Truckee,CA,
tangerine-french-bistro-truckee,10412 Donner Pass Rd,Truckee,CA,
taqueria-el-taco-loco-nevada-city,104 Union St,Nevada City,CA,
taste-of-thai-grass-valley,204 W Main St,Grass Valley,CA,
thai-delicacy-truckee,"11253 Brockway Rd, #101",Truckee,CA,
the-fern-nevada-city,235 Commercial St,Nevada City,CA,
the-mine-shaft-saloon-nevada-city,222 Broad St,Nevada City,CA,
the-national-bar-nevada-city,211 Broad St,Nevada City,CA,
the-owl-tavern-grass-valley,134 Mill St,Grass Valley,CA,
the-pizza-joint-nevada-city,228 Commercial St,Nevada City,CA,
the-place-on-south-pine-nevada-city,110 S Pine St,Nevada City,CA,
the-pub-at-donner-lake-truckee,15963 S Shore Dr,Truckee,CA,
the-thirsty-barrel-taphouse-and-grille-grass-valley,116 Neal St,Grass Valley,CA,
thirsty-barrel-brewing-penn-valley-penn-valley,10183 Commercial Ave,Penn Valley,CA,
trokay-truckee,10046 Donner Pass Rd,Truckee,CA,
truckee-brewing-company-restaurant-truckee,"10001 Soaring Way, Unit A Ste 110",Truckee,CA,
truckee-tavern-and-grill-truckee,10118 Donner Pass Rd,Truckee,CA,
tuscany-gardens-pizzeria-penn-valley,11370 Pleasant Valley Rd,Penn Valley,CA,
village-pizzaria-truckee,11329 Deerfield Dr,Truckee,CA,
wild-eye-pub-grass-valley,535 Mill St,Grass Valley,CA,
wong-s-garden-truckee,11430 Deerfield Dr,Truckee,CA,
zano-s-family-italian-and-pizzeria-truckee,11401 Donner Pass Rd,Truckee,CA,
grass-valley-downtown-association-grass-valley,128 E Main St,Grass Valley,CA,
greater-grass-valley-chamber-of-commerce-grass-valley,128 E Main St,Grass Valley,CA,
lift-cowork-conference-and-wellness-center-truckee,10266 Truckee Airport Rd,Truckee,CA,
nevada-county-arts-council-nevada-city,100 N Pine St,Nevada City,CA,
abstrakt-nevada-city,228 Broad St,Nevada City,CA,
bamboo-home-store-grass-valley,114 E Main St,Grass Valley,CA,
cabona-s-truckee,10100 Donner Pass Rd,Truckee,CA,
california-89-truckee,10156 Donner Pass Rd,Truckee,CA,
cosmic-shark-clothing-grass-valley,13024 Bitney Springs Road,Grass Valley,CA,
dressed-boutique-truckee,10084 Donner Pass Rd,Truckee,CA,
earth-central-nevada-city,417 Broad St,Nevada City,CA,
echo-blue-truckee,"11429 Donner Pass Rd, Ste 5",Truckee,CA,
ela-chapman-truckee,10056 Donner Pass Rd,Truckee,CA,
elevate-athleisure-grass-valley,124 Mill St,Grass Valley,CA,
empire-shoes-grass-valley,112 Mill St,Grass Valley,CA,
field-day-apparel-nevada-city,408 Broad St,Nevada City,CA,
fur-traders-nevada-city,303 Broad St,Nevada City,CA,
j-breuer-clothing-grass-valley,141 Mill St,Grass Valley,CA,
juniper-boutique-truckee,10056 Donner Pass Rd,Truckee,CA,
